id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
0028d9bd-587d-4888-8e1a-030ae40fa8cc,nothanksto.rich,available,149.99,,58,0,12,name.com,,
00368acb-fe78-44b9-b19e-ba7310a8a15a,signover.rich,available,149.99,,69,1,9,name.com,,
00680dd0-396d-4541-8410-60dad0bfe0fd,workingorder.rich,available,149.99,,64,1,13,name.com,,
006cb897-8b8c-462a-9b93-95d5ac1cfc36,vegetables.rich,available,149.99,,64,8,10,name.com,,
009c9a7b-8df9-412c-a68e-3655a66828b8,coffeeroyal.rich,available,149.99,,80,1,12,name.com,,
00bb1a8b-04a1-4b95-8d7b-6224721ef13b,commonyears.rich,available,94.99,1999,54,1,12,namesilo,,
00e78c72-6dc6-43c8-808c-0d3fa097b9bb,feeltheburn.rich,available,149.99,,76,2,13,name.com,,
00fdcea5-175f-449d-abd2-0164faa1a86b,remembered.rich,available,149.99,,65,8,10,name.com,,
00fe6a14-06a2-45ec-904a-9c030a10e0e2,decides.rich,available,94.99,1999,56,3,7,namesilo,,
01176264-1640-449a-ad73-5f9e1fd0bac2,commonground.rich,available,149.99,,74,28,13,name.com,,
0122c7b3-da76-4f85-9f6e-ec72df7e5fb9,godownfighting.rich,available,149.99,,44,1,16,name.com,,
012f710a-d1d8-47fe-bbda-77cf998ecfd2,Americanway.rich,premium,,,72,4,12,,,
01399735-f9b2-4356-a076-5690d7ccbc74,satellites.rich,available,149.99,,59,8,10,name.com,,
0156998c-ba04-40c5-86c8-6bb5e006aa7a,ferries.rich,available,94.99,1999,54,7,7,namesilo,,
017523e2-6a3e-4c57-9b18-ea0180b39e77,chickensalad.rich,available,149.99,,76,3,13,name.com,,
01b027c7-4594-4ec0-909e-bd4a4fbe2dcd,fastacting.rich,available,149.99,,72,1,11,name.com,,
01b91fb2-ec24-492e-a611-f9977144fd25,clearsailing.rich,available,149.99,,72,1,13,name.com,,
01ee3b5c-bc94-4d9d-bd90-da2fb1a3c37e,letus.rich,available,149.99,,79,13,6,name.com,,
0200e2fc-f025-41d0-9419-20585d278497,washes.rich,available,94.99,1999,54,3,6,namesilo,,
020f2b90-5476-468d-8eb3-ee4fb04f9287,beans.rich,available,149.99,,74,20,5,name.com,,
022c6989-c84e-46d4-b7d3-5743770d48a0,alcoholpoisoning.rich,available,149.99,,48,1,17,name.com,,
0236a211-dc93-4c66-bf97-2290dd45a8d1,getlate.rich,available,149.99,,72,1,8,name.com,,
023b8214-bab1-4602-950a-0a5a18f76114,gowiththeturf.rich,available,149.99,,66,0,16,name.com,,
0242c464-4a55-4e80-8201-4444a0f57fe9,haveway.rich,available,149.99,,74,1,8,name.com,,
02479ef0-939c-4668-9c68-b4e07da90234,behindbars.rich,available,149.99,,60,6,11,name.com,,
02560e14-3c02-40a7-b8c3-1d17a195e981,cutthrough.rich,available,149.99,,74,6,11,name.com,,
